Code.Class	Name	Accession	HW1D.a	HW2B.b	HW3B.a	HW4C.b	HW5D.b	HW6A.b	WW41B.a	WW42.a	WW45A.b	WW46D.a	WW47A.b	WW48B.a	LE100C.a	LE101A.a	LE102.a	LE4D51.a	LE4D53.a	LE4D56.b	WW37.b	WW38.b	WW39.a	WW40.b	WW43.b	WW44.a	HW4D12.B
19	Endogenous	Cmkor1	NM_053352.1	18	19	12	48	27	37	58	58	29	37	75	49	68	24	39	148	78	94	27	31	39	37	43	30	36
20	Endogenous	Col18a1	NM_053489.1	1299	1349	712	1664	1334	2199	2967	2621	1025	1026	1793	1035	2217	949	1681	4273	2425	3604	2202	1814	1973	2416	2061	2097	3128
21	Endogenous	Cyb5	NM_022245.1	18229	18836	18016	21995	21462	20154	30423	26443	15460	16840	18694	16554	30602	9996	15323	36637	34207	23507	34676	28590	24761	32806	22333	21761	24272
22	Endogenous	Cyp1a1	NM_012540.2	14	48	25	6987	5470	6580	109170	106384	34866	26594	46338	30920	644	423	452	845	33429	1151	141036	106336	91856	113059	91533	89522	46
23	Endogenous	Cyp1a2	NM_012541.2	30528	31902	16706	71538	53396	64692	315649	262354	104761	81390	142102	92993	64119	24996	37720	83684	278129	57532	548704	380856	383086	446912	246215	263545	50049
24	Endogenous	Cyp1b1	NM_012940.1	5	9	3	13	2	9	74	67	26	30	57	24	76	29	26	151	503	152	125	147	104	104	73	54	5
25	Endogenous	Cyp2a1	NM_012692.1	3414	3728	2928	4210	3675	4536	6088	5618	2782	2962	3886	2769	7240	2463	4736	11607	8572	9659	7234	6875	5526	8041	5661	5128	4610
26	Endogenous	Cyp2s1	NM_001107495.1	7	9	2	10	10	10	17	35	10	7	14	5	18	11	26	48	31	23	22	8	16	17	20	11	12
27	Endogenous	Eef1a1	NM_175838.1	27538	29168	29912	35077	35487	37201	46218	41028	27900	29172	36700	27752	57854	20863	33847	80829	46573	58326	46610	39087	31866	44440	33148	34632	40371
28	Endogenous	Eml4_predicted	NM_001108008.1	223	274	176	380	413	420	1011	1011	1109	917	1481	940	438	192	240	983	723	557	1045	960	890	881	696	759	426
29	Endogenous	Exoc3	NM_001024964.1	156	167	138	213	214	237	605	567	264	207	342	247	299	125	213	490	320	323	677	570	532	519	458	406	232
30	Endogenous	Fdft1	NM_019238.2	1317	1301	904	1876	1776	2003	2886	2478	1201	941	1445	726	3432	1367	1824	4530	3525	3633	3583	3332	2862	3213	1432	1166	3194
31	Endogenous	Fmo1	NM_012792.1	917	1290	725	1376	1452	1486	1698	1366	712	919	801	965	1310	463	888	3267	2068	2102	813	669	1056	1448	1368	1106	1510
32	Endogenous	Gapdh	NM_017008.2	16146	14938	9805	17417	15949	19323	25756	23543	14512	13106	23007	15730	25490	8198	14751	41426	29139	29156	24347	26883	18840	24990	19772	18575	27459
33	Endogenous	Gfer	NM_013222.1	346	368	372	410	493	421	649	561	427	410	489	404	810	239	361	694	351	453	356	313	224	284	443	397	587
34	Endogenous	Ghr	NM_017094.1	4441	3915	3636	5328	3639	4729	6118	5321	3653	2995	4879	3558	5212	1987	2899	11233	6476	7054	5488	4461	4494	6357	3978	4264	4761
35	Endogenous	Glud1	NM_012570.1	13489	16905	9824	17570	15452	17845	16093	15283	11144	10953	13957	11241	20135	7421	11978	40392	23044	26249	16232	13217	11572	12860	10363	14453	19832
36	Endogenous	Hagh	NM_033349.1	1680	1539	1751	2096	2246	2167	2685	2441	1367	1816	1945	2003	3653	1298	1941	4576	2610	3116	2630	2566	2128	3215	1640	1652	2960
37	Endogenous	Hprt1	NM_012583.2	536	531	542	701	812	708	912	857	538	674	852	743	1320	460	624	1476	912	998	929	858	679	1089	733	715	1216
38	Endogenous	Hsd17b12	NM_032066.1	1529	1496	1176	1705	1238	1881	2680	2631	1778	1483	2580	2020	2392	785	1250	3484	1761	1531	4675	3083	2612	3188	2383	2576	2453
39	Endogenous	Ivns1abp_predicted	NM_001047085.1	793	1163	824	1281	1076	1034	824	833	1119	848	1136	799	1220	427	691	2133	984	1692	1069	938	647	877	513	765	1190
40	Endogenous	Lasp1	NM_032613.2	304	315	228	370	318	419	749	596	206	281	362	206	777	320	496	1339	778	945	503	531	435	535	469	433	716
41	Endogenous	LOC308846	NM_001107536.1	331	344	387	421	441	431	591	515	402	379	498	391	722	229	316	780	431	543	446	403	343	446	355	372	501
42	Endogenous	LOC368066	NM_001109022.1	332	533	496	713	629	567	437	335	158	591	162	204	1599	455	328	1836	908	706	56	78	111	429	219	256	841
43	Endogenous	Mawbp	NM_138530.2	2129	2599	2530	3540	3777	3919	7175	6385	3614	3355	3886	3209	4362	1545	2807	7164	4437	4336	5315	4841	5806	7830	5725	4613	3538
44	Endogenous	Mug1	NM_023103.1	26108	25290	9304	26504	19245	33747	40158	44855	12751	9695	24712	15699	62947	30955	37426	204527	96656	133072	29079	17729	27922	31860	24122	37909	48027
45	Endogenous	Neu1	NM_031522.2	132	164	126	189	176	259	571	513	212	190	331	231	359	122	216	449	299	415	700	499	493	582	394	341	308
46	Endogenous	Nfe2l2	NM_031789.1	604	866	457	1434	1303	1374	3348	4406	2871	3061	3864	3846	1980	525	1179	2579	2205	1504	2869	2503	2629	3628	2818	2080	1638
47	Endogenous	Nqo1	NM_017000.2	250	405	58	421	109	412	4184	6682	1893	1283	1793	1247	934	471	1307	994	1718	677	4186	4744	4082	4319	5570	4677	493
48	Endogenous	Nrbp2	NM_001135007.1	5	13	8	5	10	6	15	16	11	16	14	11	16	3	7	17	10	11	13	5	9	18	7	7	7
49	Endogenous	Nudt4	NM_053598.1	559	769	764	800	797	1027	561	422	722	731	784	716	807	340	675	1603	690	855	408	419	331	457	420	604	727
50	Endogenous	Pde2a	NM_031079.1	210	253	167	271	322	346	737	542	379	365	423	286	344	126	203	682	438	436	533	484	462	565	495	579	384
51	Endogenous	Perp_predicted	NM_001106265.2	802	897	788	893	919	1057	1243	1220	829	784	1040	751	1272	436	621	2168	1340	1388	1541	1513	1031	1679	1079	1084	1143
52	Endogenous	Pgk1	NM_053291.3	2766	2238	2075	2807	2655	3146	3396	2960	2264	2042	3427	2865	5056	1515	2326	5767	3830	3458	2318	2456	1888	2916	2677	2526	4497
53	Endogenous	Pmm1	NM_001008323.1	53	69	37	106	81	81	210	222	180	168	251	164	150	53	56	138	64	90	377	332	229	293	207	230	76
54	Endogenous	Ppia	NM_017101.1	13823	14207	15608	15374	16961	16228	19619	17023	14583	13751	16886	14746	28047	8488	12088	30913	16235	19895	16449	15480	12617	17213	13773	13194	17619
55	Endogenous	Psmb4	NM_031629.1	992	871	1223	1029	1338	1380	1974	2024	1057	1267	1459	1355	2488	797	1442	2957	1605	2056	1881	1931	1262	1993	1763	1428	1335
56	Endogenous	RGD1305831_predicted	NM_001100942.1	2808	2809	3713	3306	3864	3242	4963	4483	3026	3171	3126	2977	5961	1693	3047	6650	4163	4647	4241	3647	3297	4253	3896	3463	3896
57	Endogenous	RGD1311835	NM_001014202.1	619	595	515	800	651	865	1620	1558	698	634	1106	738	1304	540	817	2097	1362	1595	1636	1286	1266	1524	1256	1171	1157
58	Endogenous	RGD1559716_predicted	XM_573211.2	228	221	168	269	275	366	399	383	194	195	298	148	312	136	183	779	471	489	237	214	172	203	207	285	471
59	Endogenous	Rpl13A	NM_173340.2	476	402	743	555	1073	886	1448	1303	804	1266	1554	1199	2434	785	1063	1823	1142	1604	1301	1611	931	1613	1144	1223	1184
60	Endogenous	Scn4b	NM_001008880.1	12	8	9	14	8	15	31	29	11	7	14	16	25	6	13	38	19	39	12	16	12	18	17	16	12
61	Endogenous	Sdc1	NM_013026.2	1423	1230	730	1173	863	1335	1161	1318	496	534	1096	634	1530	706	1691	2663	1567	2045	1674	1280	1184	1554	1158	1144	1434
62	Endogenous	Sdha	NM_130428.1	1322	1255	964	1684	1562	1869	2346	2329	1148	1141	1981	1281	2458	935	1511	4125	2685	3006	2052	2006	1485	2172	1665	1768	2345
63	Endogenous	Slco1a1	NM_017111.1	951	1042	604	1052	798	1029	1227	992	588	503	1016	786	1412	582	836	2268	1135	1621	866	573	697	828	796	852	1548
64	Endogenous	Srxn1	NM_001047858.2	57	65	59	102	91	82	336	410	258	258	203	233	199	63	97	277	166	169	253	230	164	195	169	182	190
65	Endogenous	Tiparp	NM_001107679.1	152	202	165	1476	1048	1293	979	1463	1122	2200	1579	1996	315	109	170	644	324	380	761	1321	2059	1945	1421	1175	291
66	Endogenous	Tpm1	NM_001034068.1	12	15	16	14	20	23	70	55	22	32	43	31	48	20	29	60	37	79	74	60	37	38	35	26	41
67	Endogenous	Ugt1a1	NM_012683.2	1531	2352	994	2823	1775	2319	3658	3652	1307	1416	2219	1786	2400	1183	2478	4063	3023	3002	2265	1148	2163	3123	2710	2394	3672
68	Endogenous	Zfp422	NM_001012745.1	256	199	173	246	234	220	728	519	319	274	441	257	532	157	334	681	392	443	533	439	381	458	528	421	414
